Item,Variable,Coefficient,Feature,,,,,,,
Sandakan,negeri_dp_Sabah_Sandakan,-3.12E-01,0,0.00E+00,,,,,,
Semporna,negeri_dp_Sabah_Semporna,-4.32E-01,0,0.00E+00,,,,,,
Sipitang,negeri_dp_Sabah_Sipitang,-3.42E-01,0,0.00E+00,,,,,,
Tambunan,negeri_dp_Sabah_Tambunan,-2.52E-01,0,0.00E+00,,,,,,
Tawau,negeri_dp_Sabah_Tawau,-3.72E-01,0,0.00E+00,,,,,,
Telupid,negeri_dp_Sabah_Telupid,-2.19E-01,0,0.00E+00,,,,,,
Tenom,negeri_dp_Sabah_Tenom,-3.18E-01,0,0.00E+00,,,,,,
Tongod,negeri_dp_Sabah_Tongod,-2.89E-01,0,0.00E+00,,,,,,
Tuaran,negeri_dp_Sabah_Tuaran,-3.24E-01,0,0.00E+00,,,,,,
Asajaya,negeri_dp_Sarawak_Asajaya,-3.05E-01,0,0.00E+00,,,,,,
Bau,negeri_dp_Sarawak_Bau,-2.60E-01,0,0.00E+00,,,,,,
Belaga,negeri_dp_Sarawak_Belaga,-3.16E-01,0,0.00E+00,,,,,,
Beluru,negeri_dp_Sarawak_Beluru,-3.43E-01,0,0.00E+00,,,,,,
Betong,negeri_dp_Sarawak_Betong,-2.91E-01,0,0.00E+00,,,,,,
Bintulu,negeri_dp_Sarawak_Bintulu,-3.05E-01,0,0.00E+00,,,,,,
Bukit Mabong,negeri_dp_Sarawak_BukitMabong,-3.75E-01,0,0.00E+00,,,,,,
Dalat,negeri_dp_Sarawak_Dalat,-3.30E-01,0,0.00E+00,,,,,,
Daro,negeri_dp_Sarawak_Daro,-2.69E-01,0,0.00E+00,,,,,,
Julau,negeri_dp_Sarawak_Julau,-1.93E-01,0,0.00E+00,,,,,,
Kabong,negeri_dp_Sarawak_Kabong,-3.24E-01,0,0.00E+00,,,,,,
Kanowit,negeri_dp_Sarawak_Kanowit,-2.13E-01,0,0.00E+00,,,,,,
Kapit,negeri_dp_Sarawak_Kapit,-1.36E-01,0,0.00E+00,,,,,,
Kuching,negeri_dp_Sarawak_Kuching,-2.33E-01,0,0.00E+00,,,,,,
Lawas,negeri_dp_Sarawak_Lawas,-2.57E-01,0,0.00E+00,,,,,,
Limbang,negeri_dp_Sarawak_Limbang,-2.68E-01,0,0.00E+00,,,,,,
Lubok antu,negeri_dp_Sarawak_Lubokantu,-1.78E-01,0,0.00E+00,,,,,,
Lundu,negeri_dp_Sarawak_Lundu,-2.84E-01,0,0.00E+00,,,,,,
Marudi,negeri_dp_Sarawak_Marudi,-4.13E-01,0,0.00E+00,,,,,,
Matu,negeri_dp_Sarawak_Matu,-3.07E-01,0,0.00E+00,,,,,,
Meradong,negeri_dp_Sarawak_Meradong,-3.66E-01,0,0.00E+00,,,,,,
Miri,negeri_dp_Sarawak_Miri,-3.16E-01,0,0.00E+00,,,,,,
Mukah,negeri_dp_Sarawak_Mukah,-2.74E-01,0,0.00E+00,,,,,,
Pakan,negeri_dp_Sarawak_Pakan,-2.45E-01,0,0.00E+00,,,,,,
Pusa,negeri_dp_Sarawak_Pusa,-2.65E-01,0,0.00E+00,,,,,,
Samarahan,negeri_dp_Sarawak_Samarahan,-2.26E-01,0,0.00E+00,,,,,,
Saratok,negeri_dp_Sarawak_Saratok,-2.90E-01,0,0.00E+00,,,,,,
Sarikei,negeri_dp_Sarawak_Sarikei,-3.28E-01,0,0.00E+00,,,,,,
Sebauh,negeri_dp_Sarawak_Sebauh,-2.63E-01,0,0.00E+00,,,,,,
Selangau,negeri_dp_Sarawak_Selangau,-2.50E-01,0,0.00E+00,,,,,,
Serian,negeri_dp_Sarawak_Serian,-2.24E-01,0,0.00E+00,,,,,,
Sibu,negeri_dp_Sarawak_Sibu,-2.14E-01,0,0.00E+00,,,,,,
Simunjan,negeri_dp_Sarawak_Simunjan,-2.94E-01,0,0.00E+00,,,,,,
Song,negeri_dp_Sarawak_Song,-1.45E-01,0,0.00E+00,,,,,,
Sri Aman,negeri_dp_Sarawak_SriAman,-2.45E-01,0,0.00E+00,,,,,,
Subis,negeri_dp_Sarawak_Subis,-2.62E-01,0,0.00E+00,,,,,,
